AT1G01020	Sobic.001G067400	0.41	O
AT1G01030	Sobic.001G313800	0.38	O
AT1G01030	Sobic.001G528200	0.40	O
AT1G01030	Sobic.004G280500	0.34	O
AT1G01030	Sobic.006G190400	0.34	O
AT1G01040	Sobic.001G527800	0.74	O
AT1G01050	Sobic.001G252900	0.82	PAM
AT1G01050	Sobic.003G367701	0.33	O
AT1G01050	Sobic.004G268000	0.76	PAM
AT1G01050	Sobic.006G276700	0.80	O
AT1G01050	Sobic.009G016000	0.79	PAM
AT1G01050	Sobic.009G152600	0.81	O
AT1G01060	Sobic.007G047400	0.39	O
AT1G01070	Sobic.004G002901	0.34	O
AT1G01070	Sobic.004G003100	0.33	O
AT1G01070	Sobic.010G005401	0.36	O
AT1G01070	Sobic.010G006700	0.33	O
AT1G01070	Sobic.010G006800	0.35	O
AT1G01080	Sobic.007G018900	0.36	O
AT1G01090	Sobic.006G011200	0.74	O
AT1G01100	Sobic.007G018300	0.72	PAM
AT1G01110	Sobic.007G017700	0.46	O
AT1G01120	Sobic.001G264500	0.61	O
AT1G01120	Sobic.001G438100	0.61	O
AT1G01120	Sobic.004G086800	0.60	PAM
AT1G01120	Sobic.009G236100	0.57	PAM
AT1G01120	Sobic.009G241000	0.62	PAM
AT1G01120	Sobic.010G181500	0.61	PAM
AT1G01140	Sobic.001G390200	0.64	PAM
AT1G01140	Sobic.001G523200	0.72	O
AT1G01140	Sobic.002G034700	0.68	PAM
AT1G01140	Sobic.002G424500	0.62	PAM
AT1G01140	Sobic.005G024200	0.68	PAM
AT1G01140	Sobic.008G016200	0.66	PAM
AT1G01160	Sobic.005G187500	0.43	O
AT1G01160	Sobic.008G100700	0.43	O
AT1G01170	Sobic.004G210700	0.58	O
AT1G01170	Sobic.010G012002	0.70	PAM
AT1G01170	Sobic.010G012500	0.71	O
AT1G01180	Sobic.002G266900	0.47	O
AT1G01190	Sobic.001G254800	0.48	PAM
AT1G01190	Sobic.001G336200	0.48	PAM
AT1G01190	Sobic.001G514700	0.53	O
AT1G01190	Sobic.002G272700	0.57	O
AT1G01190	Sobic.002G367600	0.47	PAM
AT1G01190	Sobic.005G115800	0.44	PAM
AT1G01190	Sobic.007G179750	0.59	O
AT1G01200	Sobic.002G271600	0.58	O
AT1G01200	Sobic.010G265400	0.54	O
AT1G01210	Sobic.004G284900	0.50	O
AT1G01220	Sobic.001G533100	0.63	O
AT1G01225	Sobic.002G271300	0.60	O
AT1G01225	Sobic.007G180200	0.54	O
AT1G01230	Sobic.002G125900	0.79	O
AT1G01230	Sobic.004G284500	0.80	O
AT1G01230	Sobic.006G182100	0.83	O
AT1G01240	Sobic.002G181300	0.31	O
AT1G01260	Sobic.003G004500	0.42	O
AT1G01260	Sobic.003G272200	0.38	O
AT1G01260	Sobic.009G088100	0.38	O
AT1G01280	Sobic.007G029900	0.72	PAM
AT1G01290	Sobic.006G107200	0.46	O
AT1G01300	Sobic.003G078400	0.47	PAM
AT1G01300	Sobic.003G208800	0.56	O
AT1G01300	Sobic.006G266800	0.43	PAM
AT1G01300	Sobic.009G253800	0.53	O
AT1G01320	Sobic.002G118200	0.52	O
AT1G01340	Sobic.004G113300	0.53	O
AT1G01340	Sobic.004G113400	0.56	O
AT1G01340	Sobic.010G153700	0.55	O
AT1G01350	Sobic.004G113700	0.59	O
AT1G01360	Sobic.004G113800	0.66	O
AT1G01360	Sobic.009G080200	0.67	O
AT1G01370	Sobic.009G178900	0.44	O
AT1G01380	Sobic.003G223400	0.39	O
AT1G01390	Sobic.002G173900	0.42	O
AT1G01390	Sobic.003G223600	0.39	O
AT1G01390	Sobic.004G039500	0.44	O
AT1G01390	Sobic.004G106500	0.40	O
AT1G01390	Sobic.004G106600	0.40	O
AT1G01390	Sobic.005G156500	0.47	O
AT1G01390	Sobic.005G156600	0.40	O
AT1G01390	Sobic.005G172900	0.47	O
AT1G01390	Sobic.005G173200	0.47	O
AT1G01390	Sobic.009G080400	0.40	O
AT1G01390	Sobic.010G179400	0.40	O
AT1G01420	Sobic.002G173900	0.43	O
AT1G01420	Sobic.003G223600	0.39	O
AT1G01420	Sobic.004G039500	0.45	O
AT1G01420	Sobic.004G106500	0.42	O
AT1G01420	Sobic.004G106600	0.41	O
AT1G01420	Sobic.005G156500	0.49	O
AT1G01420	Sobic.005G156600	0.43	O
AT1G01420	Sobic.005G172900	0.49	O
AT1G01420	Sobic.005G173200	0.49	O
AT1G01420	Sobic.009G080400	0.42	O
AT1G01420	Sobic.010G179400	0.41	O
AT1G01430	Sobic.009G080600	0.49	O
AT1G01430	Sobic.010G152000	0.45	O
AT1G01450	Sobic.003G224200	0.36	O
AT1G01450	Sobic.009G249400	0.34	O
AT1G01470	Sobic.003G011400	0.55	O
AT1G01470	Sobic.003G226400	0.52	O
AT1G01470	Sobic.009G247900	0.52	O
AT1G01480	Sobic.006G187900	0.59	O
AT1G01500	Sobic.007G038800	0.38	O
AT1G01510	Sobic.001G316200	0.61	O
AT1G01510	Sobic.001G523700	0.64	O
AT1G01520	Sobic.004G281800	0.52	O
AT1G01520	Sobic.010G004300	0.45	O
AT1G01520	Sobic.010G223700	0.46	O
AT1G01540	Sobic.001G316000	0.54	O
AT1G01540	Sobic.001G524200	0.64	O
AT1G01550	Sobic.001G195700	0.36	O
AT1G01560	Sobic.001G315700	0.77	O
AT1G01560	Sobic.007G046100	0.76	O
AT1G01570	Sobic.001G315000	0.50	O
AT1G01570	Sobic.001G525600	0.51	O
AT1G01570	Sobic.004G281500	0.52	O
AT1G01570	Sobic.006G188600	0.52	O
AT1G01600	Sobic.001G213300	0.45	PAM
AT1G01600	Sobic.003G360600	0.62	PAM
AT1G01600	Sobic.004G288500	0.68	O
AT1G01600	Sobic.006G177000	0.68	O
AT1G01610	Sobic.001G099300	0.54	PAM
AT1G01610	Sobic.001G250200	0.50	PAM
AT1G01610	Sobic.001G493300	0.50	PAM
AT1G01610	Sobic.003G360700	0.60	PAM
AT1G01610	Sobic.004G010300	0.56	O
AT1G01610	Sobic.009G157000	0.53	PAM
AT1G01620	Sobic.004G288700	0.87	O
AT1G01620	Sobic.004G351200	0.82	O
AT1G01620	Sobic.006G176700	0.86	O
AT1G01620	Sobic.010G087900	0.80	PAM
AT1G01630	Sobic.001G011400	0.50	O
AT1G01630	Sobic.003G410900	0.47	O
AT1G01630	Sobic.003G411200	0.49	O
AT1G01640	Sobic.005G010100	0.36	O
AT1G01650	Sobic.004G351100	0.65	O
AT1G01650	Sobic.010G279700	0.68	O
AT1G01700	Sobic.001G305300	0.52	O
AT1G01700	Sobic.002G302800	0.48	O
AT1G01700	Sobic.006G176400	0.52	O
AT1G01710	Sobic.006G175800	0.61	O
AT1G01710	Sobic.006G175900	0.60	O
AT1G01720	Sobic.003G334600	0.45	PAM
AT1G01720	Sobic.003G379700	0.64	O
AT1G01720	Sobic.005G064600	0.53	PAM
AT1G01720	Sobic.009G142200	0.59	O
AT1G01740	Sobic.006G273200	0.64	O
AT1G01750	Sobic.001G417600	0.73	PAM
AT1G01750	Sobic.002G303500	0.71	PAM
AT1G01750	Sobic.004G290500	0.78	PAM
AT1G01750	Sobic.006G173400	0.78	PAM
AT1G01750	Sobic.009G015700	0.69	PAM
AT1G01760	Sobic.006G250100	0.44	O
AT1G01770	Sobic.002G127550	0.61	O
AT1G01780	Sobic.004G303700	0.57	O
AT1G01780	Sobic.006G159000	0.58	O
AT1G01790	Sobic.006G271800	0.64	O
AT1G01800	Sobic.004G304625	0.47	O
AT1G01800	Sobic.006G158800	0.46	PAM
AT1G01820	Sobic.001G531500	0.75	O
AT1G01820	Sobic.010G016400	0.75	O
